Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.31233,0.045401,-0.94889,460.58,0.13696,-0.99057,-0.0023143,354.5,-0.94005,-0.12924,-0.3156,284.1,0.0,0.0,0.0,1.0
0.30871,0.046085,-0.95004,461.7,0.13333,-0.99106,-0.0047486,355.1,-0.94176,-0.12521,-0.31209,284.2,0.0,0.0,0.0,1.0
0.3077,0.045976,-0.95036,462.59,0.13017,-0.99147,-0.0058209,355.4,-0.94254,-0.12192,-0.31106,283.94,0.0,0.0,0.0,1.0
0.308,0.045973,-0.95027,463.21,0.13236,-0.99119,-0.0050531,355.01,-0.94213,-0.12422,-0.31137,284.49,0.0,0.0,0.0,1.0
0.3054,0.04768,-0.95103,463.58,0.13437,-0.99091,-0.0065312,355.1,-0.9427,-0.12579,-0.30903,284.17,0.0,0.0,0.0,1.0
0.3035,0.046743,-0.95168,464.46,0.13693,-0.99056,-0.004983,354.35,-0.94294,-0.12881,-0.30704,284.0,0.0,0.0,0.0,1.0
0.30159,0.047589,-0.95225,465.12,0.13685,-0.99057,-0.0061609,354.54,-0.94357,-0.12846,-0.30526,283.59,0.0,0.0,0.0,1.0
0.30068,0.04743,-0.95254,466.18,0.13592,-0.9907,-0.0064251,354.45,-0.94399,-0.12754,-0.30433,283.4,0.0,0.0,0.0,1.0
0.30197,0.047697,-0.95212,466.88,0.13538,-0.99077,-0.0066956,354.64,-0.94366,-0.12688,-0.30564,284.06,0.0,0.0,0.0,1.0
0.30072,0.04677,-0.95256,468.0,0.13313,-0.99108,-0.0066329,354.83,-0.94437,-0.12482,-0.30426,283.58,0.0,0.0,0.0,1.0
0.3014,0.047464,-0.95231,468.74,0.13309,-0.99108,-0.0072731,354.79,-0.94416,-0.12455,-0.30503,284.01,0.0,0.0,0.0,1.0
0.29982,0.047507,-0.95281,469.67,0.13255,-0.99115,-0.0077085,354.69,-0.94474,-0.12399,-0.30346,283.72,0.0,0.0,0.0,1.0
0.29731,0.047854,-0.95358,470.57,0.13048,-0.99141,-0.0090716,355.04,-0.94582,-0.12172,-0.301,283.27,0.0,0.0,0.0,1.0
0.29763,0.047303,-0.95351,471.21,0.12995,-0.99148,-0.0086253,355.03,-0.9458,-0.12134,-0.30124,283.69,0.0,0.0,0.0,1.0
0.29606,0.045899,-0.95406,472.22,0.12811,-0.99173,-0.0079565,355.0,-0.94654,-0.11986,-0.29949,283.73,0.0,0.0,0.0,1.0
0.2925,0.045077,-0.9552,473.37,0.12603,-0.99199,-0.0082199,355.09,-0.94792,-0.11798,-0.29584,283.29,0.0,0.0,0.0,1.0
0.29018,0.045099,-0.9559,473.93,0.12459,-0.99217,-0.0089863,355.42,-0.94882,-0.11649,-0.29353,283.03,0.0,0.0,0.0,1.0
0.2885,0.044917,-0.95642,474.35,0.12289,-0.99237,-0.0095371,355.7,-0.94956,-0.11478,-0.29182,283.05,0.0,0.0,0.0,1.0
0.28473,0.044368,-0.95756,475.27,0.12256,-0.9924,-0.0095372,355.7,-0.95074,-0.11464,-0.28801,283.23,0.0,0.0,0.0,1.0
0.28171,0.043743,-0.95845,476.31,0.12122,-0.99253,-0.0096689,355.64,-0.95181,-0.11347,-0.28492,283.23,0.0,0.0,0.0,1.0
0.27933,0.043821,-0.95919,476.95,0.12278,-0.99239,-0.0095814,355.57,-0.95231,-0.11509,-0.28258,283.05,0.0,0.0,0.0,1.0
0.27843,0.04405,-0.95945,477.64,0.12248,-0.99242,-0.010019,355.65,-0.95262,-0.11473,-0.28171,282.89,0.0,0.0,0.0,1.0
0.27946,0.043104,-0.95919,478.46,0.12182,-0.99251,-0.0091093,355.42,-0.9524,-0.1143,-0.28262,283.1,0.0,0.0,0.0,1.0
0.27902,0.042605,-0.95934,479.68,0.12154,-0.99255,-0.0087286,355.13,-0.95256,-0.11417,-0.28212,282.61,0.0,0.0,0.0,1.0
0.27938,0.042159,-0.95925,480.72,0.12185,-0.99251,-0.0081318,355.0,-0.95242,-0.11461,-0.28243,282.64,0.0,0.0,0.0,1.0
0.27924,0.041841,-0.95931,481.6,0.12291,-0.99239,-0.0075079,354.6,-0.95232,-0.11581,-0.28226,282.4,0.0,0.0,0.0,1.0
0.27901,0.041824,-0.95937,482.16,0.12501,-0.99212,-0.0068946,354.31,-0.95211,-0.11801,-0.28205,282.89,0.0,0.0,0.0,1.0
0.27786,0.042011,-0.9597,482.74,0.12479,-0.99216,-0.0073024,354.59,-0.95248,-0.11773,-0.28092,282.78,0.0,0.0,0.0,1.0
0.27501,0.040957,-0.96057,483.72,0.12374,-0.99229,-0.0068823,354.28,-0.95345,-0.11697,-0.27796,282.35,0.0,0.0,0.0,1.0
0.27351,0.040318,-0.96102,484.3,0.12133,-0.99259,-0.0071098,354.6,-0.95418,-0.11466,-0.27638,282.1,0.0,0.0,0.0,1.0
0.2726,0.040777,-0.96126,484.77,0.12147,-0.99256,-0.0076581,354.6,-0.95443,-0.11468,-0.27552,282.11,0.0,0.0,0.0,1.0
0.26867,0.040005,-0.9624,485.7,0.11993,-0.99275,-0.0077825,354.65,-0.95573,-0.11333,-0.27152,281.6,0.0,0.0,0.0,1.0
0.26505,0.037861,-0.96349,486.98,0.1166,-0.99315,-0.0069502,354.79,-0.95716,-0.1105,-0.26765,281.54,0.0,0.0,0.0,1.0
0.26529,0.037734,-0.96343,487.46,0.11481,-0.99336,-0.0072936,355.16,-0.95731,-0.10867,-0.26786,281.69,0.0,0.0,0.0,1.0
